Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
MARUTI,EQ,5864.15,5884.0,5975.0,5864.15,5958.95,5964.4,5941.96,598391,355561636560000.0,59159,231355,0.3866
MARUTI,EQ,5964.4,5997.0,6008.4,5936.05,5947.0,5955.6,5963.66,443986,264778113644999.97,46047,232108,0.5228
MARUTI,EQ,5955.6,6060.0,6144.4,6010.0,6134.9,6132.4,6086.74,875005,532592779760000.06,86743,448500,0.5126
MARUTI,EQ,6132.4,6115.0,6168.8,6092.5,6128.0,6137.35,6136.58,384040,235669355880000.03,45913,161845,0.4214
MARUTI,EQ,6137.35,6159.6,6186.3,6131.7,6153.0,6155.45,6155.24,252721,155555872230000.0,35083,122887,0.4863
MARUTI,EQ,6155.45,6165.0,6226.8,6150.0,6191.0,6192.6,6193.21,1048024,649063421970000.0,64547,667470,0.6369
MARUTI,EQ,6192.6,6220.0,6220.0,6151.1,6164.9,6158.9,6169.59,207710,128148619920000.0,23029,94627,0.4556
MARUTI,EQ,6158.9,6164.75,6200.55,6051.85,6090.0,6076.3,6106.34,532134,324939158215000.0,49984,338539,0.6362
MARUTI,EQ,6076.3,6046.4,6053.4,5977.4,6007.9,6005.8,6005.67,462793,277938100485000.0,55819,258536,0.5586
MARUTI,EQ,6005.8,6015.9,6069.0,6015.9,6027.85,6034.8,6039.91,447530,270304174319999.97,36568,287514,0.6424
MARUTI,EQ,6034.8,6047.0,6047.0,5992.1,6009.9,6004.65,6009.9,573292,344543023930000.0,41707,441703,0.7705
MARUTI,EQ,6004.65,5977.0,6020.0,5965.65,5985.0,5985.8,5990.57,340512,203986252465000.0,31993,196270,0.5764
MARUTI,EQ,5985.8,5971.2,6049.0,5962.55,5980.05,5974.25,6003.55,505962,303756811405000.0,46713,300845,0.5946
MARUTI,EQ,5974.25,6008.9,6008.9,5929.35,5940.0,5944.15,5971.51,494597,295349211825000.0,51134,262927,0.5316
MARUTI,EQ,5944.15,5965.0,6000.9,5935.05,5951.0,5956.6,5962.99,898999,536071963660000.06,80501,563476,0.6268
MARUTI,EQ,5956.6,5952.0,6041.0,5940.1,6035.0,6015.7,6001.98,501939,301262666505000.0,39654,285013,0.5678
MARUTI,EQ,6015.7,6095.0,6095.0,6030.0,6069.05,6072.0,6060.5,378716,229520963250000.0,34732,191482,0.5056
MARUTI,EQ,6072.0,6110.0,6359.0,6071.05,6335.0,6342.4,6248.28,1076674,672736406400000.0,83249,465369,0.4322
MARUTI,EQ,6342.4,6335.0,6336.0,6260.0,6266.15,6291.65,6285.78,505863,317974184505000.0,39709,218070,0.4311
MARUTI,EQ,6291.65,6250.0,6336.0,6236.05,6265.0,6259.35,6293.16,467235,294038339750000.0,30380,181851,0.38920000000000005
MARUTI,EQ,6259.35,6282.0,6307.8,6245.05,6265.0,6268.85,6276.64,318486,199902341625000.0,35669,140243,0.4403
